Ticker,Total Return (%),Annualized Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Avg Volume (M),Current Price ($),MA50 ($),MA200 ($),Above MA50,Above MA200
ABBV,13.422268404353034,13.536608058287602,26.82419987371121,0.35552255437948255,-20.736398094447388,6.4722076,232.0800018310547,223.46954864501953,209.764732131958,1,1
PEP,13.163054220516802,13.275059152522871,22.583792350725695,0.4106953787247708,-17.791999800273356,8.442308,169.74000549316406,153.12440032958983,142.8817481994629,1,1
TXN,12.561317914499393,12.667921550039352,40.902732575919806,0.21191546393509944,-29.574357949144964,7.6188316,212.11000061035156,199.4907376098633,187.13458351135253,1,1
AAPL,11.469729278694608,11.566600982513853,32.50603375673492,0.23277527609612259,-27.878865891156124,54.0412284,264.17999267578125,265.20051940917966,242.49794738769532,0,1
UNP,10.341138346086055,10.42803895210107,22.933077179194058,0.28029552693141774,-16.461439478371236,3.6158528,264.9800109863281,240.55060729980468,227.14205078125,1,1
LOW,9.644964726653704,9.725761037859026,25.51016329505762,0.2244501915426133,-19.181910437239203,2.8458364,264.57000732421875,265.0633166503906,243.51732780456544,0,1
WFC,8.033354918117963,8.100157319554668,30.394260259722845,0.1348990659591087,-20.836026371688774,16.3910172,81.44999694824219,90.52734283447266,82.97552772521972,0,0
UPS,3.878425865276003,3.9100521418487633,30.27934176204011,-0.0029706015031013824,-29.679440773226023,6.7131776,115.95999908447266,107.62359909057618,94.06824001312256,1,1
DHR,3.0498401456918067,3.0746101785790403,31.96762285114395,-0.028947720815213667,-18.576244799374976,4.0295432,210.63999938964844,225.05912506103516,209.51344062805177,0,1
AMZN,2.4290291794750507,2.448697420289503,35.14452562998137,-0.044140660654901534,-21.736223115695744,47.115164,210.0,226.59099975585937,224.34630020141603,0,0
MSFT,1.867916947273729,1.8830001029832344,26.6726240765787,-0.07936976470476742,-28.77880449278235,24.5505572,392.739990234375,444.46531372070314,483.77856063842773,0,0
HD,0.13390588943513748,0.13497785920004723,23.306727661319577,-0.16583289584725527,-21.50111574030214,3.8410096,380.7200012207031,370.7633996582031,374.18086486816406,1,1
TMO,-0.13123041822604709,-0.13227956690258225,32.25162119722068,-0.12812625888272203,-26.464639704139163,2.3420984,521.1099853515625,573.7985992431641,508.0792082214355,0,1
META,-0.7367411181386174,-0.7426131083804743,39.709044079338,-0.11943407902000394,-26.106120653666604,15.5088188,648.1799926757812,656.6967980957031,690.5884310913086,0,0
BRK-B,-1.0057195930598617,-1.0137244309483484,17.959301065417073,-0.2791714673464056,-14.948129726959822,4.871534,504.95001220703125,495.48359924316406,492.4622492980957,1,1
IBM,-1.6022693278585742,-1.6149834174322586,33.96063244907582,-0.1653380108822167,-28.686447845568132,4.9600295999999995,240.2100067138672,286.7351040649414,277.0024754333496,0,0
PG,-2.1650420094238343,-2.1821719814350327,18.585415225611424,-0.3326356665368315,-20.10194754155111,8.9678992,167.1999969482422,150.2548388671875,151.97426849365235,1,1
COST,-2.9154529717956956,-2.9384305282323386,21.89286760728075,-0.31692652843361996,-19.346944191337624,2.4198012,1010.7899780273438,941.7795690917969,949.0288635253906,1,1
DIS,-4.944841318555959,-4.9833976371918665,31.949080220504683,-0.2811785996714356,-27.54676630712619,10.234119199999999,106.04000091552734,110.12740020751953,112.65797878265381,0,0
MA,-9.51848903652428,-9.59086313115881,24.290935661669764,-0.5595034839520288,-16.950902150929252,3.0172016,517.2100219726562,546.0210504150391,560.73515335083,0,0
V,-10.857350489622487,-10.939275775363665,24.18704532917323,-0.6176560870518831,-17.413948804288008,6.794954,320.1400146484375,333.2291448974609,341.8470933532715,0,0
SBUX,-12.724571918139727,-12.819546547613914,34.545023234863194,-0.4868876895309034,-31.08597531893728,10.107228800000001,98.0199966430664,91.81556442260742,87.51095333099366,1,1
ABT,-15.466304206356263,-15.579854662695647,23.466090274464868,-0.8343893010588939,-22.949730859805197,7.206586,116.3499984741211,117.49012512207031,126.37498985290527,0,0
NKE,-19.244736478096357,-19.3827080707222,41.771244971701464,-0.5597800134174395,-32.217831143401405,16.9669964,62.18000030517578,63.42260002136231,66.98361211776734,0,0
INTU,-31.490160987524273,-31.697127168571782,34.73116690803237,-1.0278124908125676,-55.40848575767655,2.1644472,409.0299987792969,533.5009649658203,658.5672203063965,0,0
CRM,-33.09846075316237,-33.31324287501115,34.94277863179607,-1.067838458646734,-38.81010889656477,8.6608368,194.7899932861328,225.68466430664063,246.60706840515138,0,0
UNH,-35.66165180113975,-35.88824491490723,51.171204263520075,-0.7795056905343057,-60.05506450395512,12.3821668,293.2699890136719,312.79360046386716,312.88703788757323,0,0
ACN,-38.895602487011374,-39.135922200299625,33.55594925361019,-1.28549253291229,-44.46330261223041,4.366259599999999,208.72000122070312,255.31259948730468,264.8422162628174,0,0
